purchase_id,purchase_date,product_id,product_price,service_tax,comission_value,has_coupon,discount,refund,cancelled,chargeback
696733696,2022-06-21,275653577,48.00,7.2,36.00,1,0.1,0,0,0
957560528,2021-01-02,399974968,45.00,4.5,40.50,0,0,1,0,0
800828744,2020-07-07,489748266,"1,000.00",100,900.00,0,0,0,0,0
964632300,2022-11-24,545252229,210.00,21,168.00,1,0.1,0,0,0
830193347,2021-09-05,489748266,"1,000.00",100,900.00,0,0,0,0,0
372957983,2022-10-14,545252229,210.00,21,189.00,0,0,0,0,0
708566332,2021-04-10,234382743,30.00,3,18.00,1,0.3,0,0,0
392512570,2022-03-22,897822682,73.00,7.3,58.40,1,0.1,0,0,0
804916737,2022-03-19,899309605,52.00,5.2,41.60,1,0.1,0,0,0
292774792,2020-04-14,399974968,45.00,5.4,35.10,1,0.1,0,1,0
622284504,2021-12-12,489748266,"1,000.00",100,900.00,0,0,0,0,0
854399891,2020-10-13,399974968,45.00,4.5,40.50,0,0,0,0,0
283675380,2022-01-16,957182963,968.00,116.16,851.84,0,0,0,0,0
741926828,2021-03-13,937565380,850.00,85,680.00,1,0.1,0,0,0
467897433,2020-11-21,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
961917455,2022-02-27,899309605,52.00,5.2,46.80,0,0,1,0,0
424418564,2022-07-09,399463467,"1,488.00",148.8,"1,190.40",1,0.1,0,0,0
741509595,2020-11-08,489748266,"1,000.00",120,780.00,1,0.1,0,0,0
928266731,2021-05-16,899309605,52.00,5.2,46.80,0,0,0,0,0
560317882,2020-05-23,218834610,780.00,78,702.00,0,0,0,0,0
924386381,2020-05-11,399463467,"1,488.00",148.8,"1,190.40",1,0.1,1,0,1
843694984,2020-07-05,399463467,"1,488.00",178.56,"1,011.84",1,0.2,0,0,0
371220285,2020-08-07,325563626,660.00,66,594.00,0,0,0,0,0
233727295,2020-11-20,234382743,30.00,3,27.00,0,0,1,0,0
341399324,2021-08-20,253458328,560.00,56,504.00,0,0,0,0,0
949591792,2021-11-03,897822682,73.00,7.3,65.70,0,0,0,0,0
854411435,2021-11-27,983844542,650.00,65,455.00,1,0.2,0,0,1
534597453,2020-01-21,343411650,49.00,5.88,43.12,0,0,0,0,0
171592421,2022-02-22,899309605,52.00,6.24,40.56,1,0.1,0,0,0
709232528,2022-09-17,275653577,48.00,4.8,43.20,0,0,0,0,0
194881940,2021-11-29,253458328,560.00,56,504.00,0,0,1,0,0
723549918,2021-07-04,218834610,780.00,93.6,608.40,1,0.1,0,0,0
301922528,2021-06-23,325563626,660.00,66,528.00,1,0.1,0,0,0
661405882,2021-11-30,338359603,57.00,6.84,50.16,0,0,0,0,0
979933459,2020-12-24,218834610,780.00,78,702.00,0,0,0,0,0
938357203,2020-07-24,983844542,650.00,65,585.00,0,0,0,1,0
181488770,2023-01-24,899309605,52.00,5.2,46.80,0,0,0,1,0
219200391,2020-07-03,489748266,"1,000.00",120,880.00,0,0,0,0,0
534767288,2022-11-11,253458328,560.00,84,476.00,0,0,0,0,0
777764453,2022-07-09,957182963,968.00,96.8,871.20,0,0,0,0,0
738690170,2022-12-16,489748266,"1,000.00",100,900.00,0,0,0,0,0
260847206,2020-02-03,399974968,45.00,5.4,35.10,1,0.1,0,1,0
248965821,2020-07-08,399974968,45.00,4.5,40.50,0,0,0,0,0
959849734,2020-12-05,399463467,"1,488.00",148.8,"1,041.60",1,0.2,0,0,0
743564764,2021-08-15,399974968,45.00,4.5,40.50,0,0,0,0,0
760501527,2021-09-25,234382743,30.00,3,24.00,1,0.1,0,0,0
895586530,2021-12-28,897822682,73.00,7.3,65.70,0,0,0,0,0
490785518,2022-08-27,983844542,650.00,65,585.00,0,0,0,0,0
654672237,2022-01-20,399974968,45.00,5.4,39.60,0,0,0,0,0
930304502,2020-07-04,399974968,45.00,4.5,40.50,0,0,0,0,1
766756976,2021-12-14,253458328,560.00,56,504.00,0,0,1,0,0
883626958,2021-01-07,399974968,45.00,5.4,39.60,0,0,0,0,0
367487272,2022-11-06,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
374321286,2022-12-11,983844542,650.00,78,442.00,1,0.2,0,0,0
929560369,2020-05-18,399974968,45.00,4.5,40.50,0,0,0,0,0
670686533,2022-10-06,899309605,52.00,5.2,46.80,0,0,1,0,0
839490413,2020-07-28,399974968,45.00,4.5,36.00,1,0.1,0,0,1
546692576,2020-07-07,495666716,"1,612.00",161.2,"1,289.60",1,0.1,0,0,0
477792868,2021-06-25,234382743,30.00,3.6,23.40,1,0.1,0,1,1
442689564,2020-11-16,399974968,45.00,4.5,36.00,1,0.1,0,0,0
224196468,2020-04-03,957182963,968.00,116.16,658.24,1,0.2,0,0,0
799513786,2022-04-08,489748266,"1,000.00",100,900.00,0,0,0,0,0
881893820,2021-04-19,983844542,650.00,78,442.00,1,0.2,0,0,0
959394379,2020-12-11,399974968,45.00,4.5,31.50,1,0.2,0,0,0
913305441,2021-12-13,338359603,57.00,6.84,50.16,0,0,0,1,0
684603964,2022-10-21,545252229,210.00,21,126.00,1,0.3,0,0,0
721366517,2021-04-27,489748266,"1,000.00",100,900.00,0,0,0,0,0
323911868,2021-10-17,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
742819844,2020-04-22,218834610,780.00,93.6,530.40,1,0.2,0,0,1
805757775,2021-03-06,399974968,45.00,4.5,36.00,1,0.1,1,0,0
745814955,2021-10-02,399974968,45.00,4.5,36.00,1,0.1,0,0,0
642718616,2022-11-21,983844542,650.00,65,520.00,1,0.1,0,0,0
892221835,2021-12-12,844949729,390.00,39,351.00,0,0,0,0,0
794594540,2022-07-26,780973554,950.00,142.5,807.50,0,0,0,0,0
450796420,2021-07-29,325563626,660.00,99,561.00,0,0,0,0,0
252614748,2021-12-06,983844542,650.00,65,585.00,0,0,0,0,0
192335490,2020-03-29,399974968,45.00,5.4,35.10,1,0.1,0,0,0
189814332,2022-04-10,541916844,670.00,80.4,522.60,1,0.1,0,0,0
304202305,2022-04-24,399974968,45.00,4.5,40.50,0,0,0,0,0
708385437,2020-08-11,275653577,48.00,5.76,37.44,1,0.1,0,0,0
642747715,2022-09-10,780973554,950.00,114,836.00,0,0,0,0,0
664440274,2022-02-11,253458328,560.00,56,504.00,0,0,0,1,0
473232349,2022-07-28,780973554,950.00,95,855.00,0,0,0,0,0
804768595,2022-09-16,466262361,800.00,80,720.00,0,0,0,0,0
834929658,2020-10-07,218834610,780.00,117,663.00,0,0,0,0,0
949311631,2020-01-20,489748266,"1,000.00",120,780.00,1,0.1,0,0,0
953918261,2021-10-20,399974968,45.00,4.5,36.00,1,0.1,0,1,0
913978261,2021-01-17,399974968,45.00,4.5,40.50,0,0,0,0,0
846446913,2020-06-11,218834610,780.00,78,702.00,0,0,0,0,0
678526410,2020-11-21,489748266,"1,000.00",100,600.00,1,0.3,0,0,0
266635881,2020-07-30,983844542,650.00,65,585.00,0,0,0,0,0
761562411,2022-12-02,899309605,52.00,5.2,41.60,1,0.1,0,0,0
526958895,2021-11-07,983844542,650.00,65,520.00,1,0.1,0,0,0
580719481,2020-03-15,343411650,49.00,7.35,41.65,0,0,0,0,0
571251298,2022-03-07,338359603,57.00,6.84,44.46,1,0.1,0,0,0
541753518,2020-04-03,218834610,780.00,93.6,608.40,1,0.1,0,0,0
263265270,2020-11-22,983844542,650.00,78,572.00,0,0,0,1,0
231879485,2021-12-12,343411650,49.00,5.88,43.12,0,0,0,0,0
445195705,2021-09-05,234382743,30.00,3,27.00,0,0,0,0,0
847969501,2020-07-07,399463467,"1,488.00",178.56,"1,309.44",0,0,0,0,0
326333906,2022-03-13,275653577,48.00,4.8,43.20,0,0,0,0,0
459288388,2021-01-02,399974968,45.00,5.4,35.10,1,0.1,0,0,0
767255624,2020-01-18,983844542,650.00,65,520.00,1,0.1,0,0,0
313296673,2022-01-29,489748266,"1,000.00",100,800.00,1,0.1,0,0,0
669448218,2022-06-25,399974968,45.00,4.5,40.50,0,0,0,0,0
598584342,2022-07-23,234382743,30.00,3,21.00,1,0.2,0,0,0
417368173,2020-04-04,218834610,780.00,93.6,530.40,1,0.2,0,0,0
670851844,2022-11-29,253458328,560.00,84,420.00,1,0.1,0,1,0
917727519,2021-07-07,817310632,56.00,5.6,50.40,0,0,0,0,0
971385919,2022-11-13,343411650,49.00,4.9,39.20,1,0.1,0,0,0
616593265,2022-10-02,489748266,"1,000.00",100,900.00,0,0,0,0,0
785731229,2021-12-17,343411650,49.00,4.9,39.20,1,0.1,0,0,0
716527501,2022-01-24,489748266,"1,000.00",120,680.00,1,0.2,0,0,0
609407488,2021-04-18,489748266,"1,000.00",100,800.00,1,0.1,0,0,0
299287877,2020-07-11,489748266,"1,000.00",100,900.00,0,0,1,0,0
692386304,2021-10-12,325563626,660.00,66,594.00,0,0,0,1,0
650447450,2020-02-27,399974968,45.00,4.5,31.50,1,0.2,1,0,0
751890621,2021-06-06,399974968,45.00,4.5,40.50,0,0,1,0,0
453483690,2022-07-08,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
787804479,2022-04-25,260868848,640.00,64,576.00,0,0,0,0,0
795320436,2022-08-28,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
839756369,2022-12-06,899309605,52.00,6.24,40.56,1,0.1,0,0,0
178562627,2021-12-30,780973554,950.00,95,855.00,0,0,1,0,0
704548608,2022-07-10,399974968,45.00,4.5,40.50,0,0,0,0,0
793367691,2021-01-30,325563626,660.00,66,462.00,1,0.2,0,0,0
765666441,2022-11-07,253458328,560.00,56,504.00,0,0,0,0,0
174946916,2020-04-18,399974968,45.00,4.5,31.50,1,0.2,0,1,0
544897466,2020-01-26,399974968,45.00,4.5,36.00,1,0.1,0,0,1
533386611,2020-07-14,399974968,45.00,5.4,26.10,1,0.3,0,0,0
692927410,2023-02-07,899309605,52.00,6.24,45.76,0,0,0,0,0
514551468,2020-11-25,348532296,680.00,81.6,598.40,0,0,0,0,0
723595943,2021-01-30,218834610,780.00,117,585.00,1,0.1,0,0,0
394727330,2020-12-21,489748266,"1,000.00",120,680.00,1,0.2,0,0,0
641302364,2021-01-10,489748266,"1,000.00",120,880.00,0,0,0,0,0
222333609,2021-07-23,399463467,"1,488.00",148.8,"1,339.20",0,0,0,0,0
540286503,2022-09-20,545252229,210.00,31.5,157.50,1,0.1,0,0,0
179762263,2021-01-30,399974968,45.00,5.4,39.60,0,0,0,0,0
202633738,2022-12-31,399463467,"1,488.00",148.8,"1,041.60",1,0.2,0,0,0
804674965,2021-07-27,603575193,"1,240.00",148.8,843.20,1,0.2,0,0,0
473858246,2022-06-09,343411650,49.00,4.9,39.20,1,0.1,0,0,0
774876261,2020-12-09,489748266,"1,000.00",100,900.00,0,0,0,0,0
407964792,2022-02-26,399974968,45.00,4.5,40.50,0,0,0,0,0
366962538,2021-12-15,897822682,73.00,7.3,65.70,0,0,0,1,0
895385471,2021-10-24,897822682,73.00,10.95,47.45,1,0.2,0,0,0
903392870,2021-07-04,328762963,520.00,52,468.00,0,0,0,0,0
811546398,2020-09-06,399974968,45.00,4.5,40.50,0,0,0,0,0
831210172,2022-08-09,343411650,49.00,4.9,39.20,1,0.1,0,1,0
906419234,2021-11-28,489748266,"1,000.00",100,900.00,0,0,0,1,0
587417366,2021-11-10,780973554,950.00,95,760.00,1,0.1,0,0,0
